ID,Count,Year,Month,Day,DateFull
337,151,2017,1,24,1/24/2017
338,123,2017,1,25,1/25/2017
339,141,2017,1,26,1/26/2017
340,144,2017,1,27,1/27/2017
341,28,2017,1,28,1/28/2017
342,50,2017,1,29,1/29/2017
343,142,2017,1,30,1/30/2017
344,160,2017,1,31,1/31/2017
345,172,2017,2,1,2/1/2017
346,155,2017,2,2,2/2/2017
347,169,2017,2,3,2/3/2017
348,40,2017,2,4,2/4/2017
349,45,2017,2,5,2/5/2017
350,150,2017,2,6,2/6/2017
351,160,2017,2,7,2/7/2017
352,175,2017,2,8,2/8/2017
353,182,2017,2,9,2/9/2017
354,140,2017,2,10,2/10/2017
355,59,2017,2,11,2/11/2017
356,52,2017,2,12,2/12/2017
357,134,2017,2,13,2/13/2017
358,158,2017,2,14,2/14/2017
359,136,2017,2,15,2/15/2017
360,130,2017,2,16,2/16/2017
361,145,2017,2,17,2/17/2017
362,37,2017,2,18,2/18/2017
363,42,2017,2,19,2/19/2017
364,143,2017,2,20,2/20/2017
365,107,2017,2,21,2/21/2017
366,144,2017,2,22,2/22/2017
367,130,2017,2,23,2/23/2017
368,174,2017,2,24,2/24/2017
369,41,2017,2,25,2/25/2017
370,50,2017,2,26,2/26/2017
371,137,2017,2,27,2/27/2017
372,167,2017,2,28,2/28/2017
373,158,2017,3,1,3/1/2017
374,151,2017,3,2,3/2/2017
375,160,2017,3,3,3/3/2017
376,61,2017,3,4,3/4/2017
377,43,2017,3,5,3/5/2017
378,155,2017,3,6,3/6/2017
379,131,2017,3,7,3/7/2017
380,134,2017,3,8,3/8/2017
381,131,2017,3,9,3/9/2017
382,165,2017,3,10,3/10/2017
383,63,2017,3,11,3/11/2017
384,38,2017,3,12,3/12/2017
385,164,2017,3,13,3/13/2017
386,136,2017,3,14,3/14/2017
387,117,2017,3,15,3/15/2017
388,139,2017,3,16,3/16/2017
389,157,2017,3,17,3/17/2017
390,50,2017,3,18,3/18/2017
391,47,2017,3,19,3/19/2017
392,166,2017,3,20,3/20/2017
393,150,2017,3,21,3/21/2017
394,131,2017,3,22,3/22/2017
395,146,2017,3,23,3/23/2017
396,138,2017,3,24,3/24/2017
397,46,2017,3,25,3/25/2017
398,45,2017,3,26,3/26/2017
399,117,2017,3,27,3/27/2017
400,143,2017,3,28,3/28/2017
401,147,2017,3,29,3/29/2017
402,138,2017,3,30,3/30/2017
403,151,2017,3,31,3/31/2017
404,38,2017,4,1,4/1/2017
405,45,2017,4,2,4/2/2017
406,137,2017,4,3,4/3/2017
407,152,2017,4,4,4/4/2017
408,128,2017,4,5,4/5/2017
409,141,2017,4,6,4/6/2017
410,148,2017,4,7,4/7/2017
411,57,2017,4,8,4/8/2017
412,29,2017,4,9,4/9/2017
413,127,2017,4,10,4/10/2017
414,129,2017,4,11,4/11/2017
415,154,2017,4,12,4/12/2017
416,134,2017,4,13,4/13/2017
417,116,2017,4,14,4/14/2017
418,44,2017,4,15,4/15/2017
419,43,2017,4,16,4/16/2017
420,128,2017,4,17,4/17/2017
421,159,2017,4,18,4/18/2017
422,127,2017,4,19,4/19/2017
423,132,2017,4,20,4/20/2017
424,145,2017,4,21,4/21/2017
425,40,2017,4,22,4/22/2017
426,47,2017,4,23,4/23/2017
427,125,2017,4,24,4/24/2017
428,134,2017,4,25,4/25/2017
429,133,2017,4,26,4/26/2017
430,138,2017,4,27,4/27/2017
431,147,2017,4,28,4/28/2017
432,50,2017,4,29,4/29/2017
433,37,2017,4,30,4/30/2017
434,135,2017,5,1,5/1/2017
435,117,2017,5,2,5/2/2017
436,122,2017,5,3,5/3/2017
437,146,2017,5,4,5/4/2017
438,142,2017,5,5,5/5/2017
439,50,2017,5,6,5/6/2017
440,55,2017,5,7,5/7/2017
441,138,2017,5,8,5/8/2017
442,107,2017,5,9,5/9/2017
443,48,2017,5,10,5/10/2017
444,110,2017,5,11,5/11/2017
445,131,2017,5,12,5/12/2017
446,28,2017,5,13,5/13/2017
447,33,2017,5,14,5/14/2017
448,129,2017,5,15,5/15/2017
449,44,2017,5,16,5/16/2017
450,123,2017,5,17,5/17/2017
451,130,2017,5,18,5/18/2017
452,137,2017,5,19,5/19/2017
453,40,2017,5,20,5/20/2017
454,35,2017,5,21,5/21/2017
455,135,2017,5,22,5/22/2017
456,147,2017,5,23,5/23/2017
457,143,2017,5,24,5/24/2017
458,48,2017,5,25,5/25/2017
459,44,2017,5,26,5/26/2017
460,15,2017,5,27,5/27/2017
461,7,2017,5,28,5/28/2017
462,14,2017,5,29,5/29/2017
463,47,2017,5,30,5/30/2017
464,39,2017,5,31,5/31/2017
465,102,2017,6,1,6/1/2017
466,125,2017,6,2,6/2/2017
467,45,2017,6,3,6/3/2017
468,43,2017,6,4,6/4/2017
469,108,2017,6,5,6/5/2017
470,88,2017,6,6,6/6/2017
471,107,2017,6,7,6/7/2017
472,122,2017,6,8,6/8/2017
473,128,2017,6,9,6/9/2017
474,53,2017,6,10,6/10/2017
475,41,2017,6,11,6/11/2017
476,108,2017,6,12,6/12/2017
477,119,2017,6,13,6/13/2017
478,125,2017,6,14,6/14/2017
479,129,2017,6,15,6/15/2017
480,117,2017,6,16,6/16/2017
481,42,2017,6,17,6/17/2017
482,43,2017,6,18,6/18/2017
483,133,2017,6,19,6/19/2017
484,128,2017,6,20,6/20/2017
485,114,2017,6,21,6/21/2017
486,119,2017,6,22,6/22/2017
487,117,2017,6,23,6/23/2017
488,36,2017,6,24,6/24/2017
489,27,2017,6,25,6/25/2017
490,107,2017,6,26,6/26/2017
491,139,2017,6,27,6/27/2017
492,107,2017,6,28,6/28/2017
493,93,2017,6,29,6/29/2017
494,139,2017,6,30,6/30/2017
495,42,2017,7,1,7/1/2017
496,18,2017,7,2,7/2/2017
497,109,2017,7,3,7/3/2017
498,61,2017,7,4,7/4/2017
499,125,2017,7,5,7/5/2017
500,117,2017,7,6,7/6/2017
501,124,2017,7,7,7/7/2017
502,33,2017,7,8,7/8/2017
503,34,2017,7,9,7/9/2017
504,130,2017,7,10,7/10/2017
505,96,2017,7,11,7/11/2017
506,106,2017,7,12,7/12/2017
507,111,2017,7,13,7/13/2017
508,119,2017,7,14,7/14/2017
509,27,2017,7,15,7/15/2017
510,31,2017,7,16,7/16/2017
511,97,2017,7,17,7/17/2017
512,98,2017,7,18,7/18/2017
513,122,2017,7,19,7/19/2017
514,116,2017,7,20,7/20/2017
515,140,2017,7,21,7/21/2017
516,44,2017,7,22,7/22/2017
517,39,2017,7,23,7/23/2017
518,97,2017,7,24,7/24/2017
519,107,2017,7,25,7/25/2017
520,136,2017,7,26,7/26/2017
521,189,2017,7,27,7/27/2017
522,225,2017,7,28,7/28/2017
523,28,2017,7,29,7/29/2017
524,48,2017,7,30,7/30/2017
525,37,2017,7,31,7/31/2017
526,207,2017,8,1,8/1/2017
527,194,2017,8,2,8/2/2017
